Isotype	Strain	Sequencing Run	Sequencing Library	Source	ReadGroup	Library Preparation Method	Trimming
JU1212	JU1212	BGI2	RET6	Andersen	BGI2-RET6-JU1212	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1212	JU1212	BGI3	RET6a	Andersen	BGI3-RET6a-JU1212	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JT11398	JT11398	BGI1	RET2	Andersen	BGI1-RET2-JT11398	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JT11398	JT11398	BGI2	RET2	Andersen	BGI2-RET2-JT11398	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JT11398	JT11398	BGI3	RET2a	Andersen	BGI3-RET2a-JT11398	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JT11398	JT11398	UChicago	EA2	Andersen	UChicago-EA2-JT11398	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JT11398	JT11398	UChicago2	L008	Andersen	UChicago2-L008-JT11398	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1172	JU1172	BGI1	RET4	Andersen	BGI1-RET4-JU1172	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1172	JU1172	BGI2	RET4	Andersen	BGI2-RET4-JU1172	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1172	JU1172	BGI3	RET4b	Andersen	BGI3-RET4b-JU1172	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3049	ED3049	BGI1	RET1	Andersen	BGI1-RET1-ED3049	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3049	ED3049	BGI2	RET1	Andersen	BGI2-RET1-ED3049	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3049	ED3049	BGI3	RET1b	Andersen	BGI3-RET1b-ED3049	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3049	ED3049	MMP	ML_2	MMP	MMP-ML_2-ED3049	Sonication	NA
ED3049	ED3049	MMP	ML_3	MMP	MMP-ML_3-ED3049	Sonication	NA
ED3049	ED3049	MMP	ML_5	MMP	MMP-ML_5-ED3049	Sonication	NA
ED3049	ED3049	MMP	ML_6	MMP	MMP-ML_6-ED3049	Sonication	NA
ED3049	ED3049	MMP	ML_7	MMP	MMP-ML_7-ED3049	Sonication	NA
ED3049	ED3049	Princeton1	PL_15	Princeton	Princeton1-PL_15-ED3049	Sonication	NA
ED3049	ED3049	Princeton1	PL_16	Princeton	Princeton1-PL_16-ED3049	Sonication	NA
CB4852	CB4852	BGI1	RET1	Andersen	BGI1-RET1-CB4852	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4852	CB4852	BGI1	RET4	Andersen	BGI1-RET4-CB4852	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4852	CB4852	BGI2	RET1	Andersen	BGI2-RET1-CB4852	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4852	CB4852	BGI2	RET4	Andersen	BGI2-RET4-CB4852	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4852	CB4852	BGI3	RET1b	Andersen	BGI3-RET1b-CB4852	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4852	CB4852	Princeton1	PL_10	Princeton	Princeton1-PL_10-CB4852	Sonication	NA
CB4852	CB4852	Princeton1	PL_11	Princeton	Princeton1-PL_11-CB4852	Sonication	NA
CB4852	CB4852	Rockman	R096.2	Rockman	Rockman-R096.2-CB4852	Sonication	NA
JU1395	JU1395	BGI2	RET6	Andersen	BGI2-RET6-JU1395	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1395	JU1395	BGI3	RET6a	Andersen	BGI3-RET6a-JU1395	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4724	EG4724	BGI1	RET5	Andersen	BGI1-RET5-EG4724	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4724	EG4724	BGI2	RET5	Andersen	BGI2-RET5-EG4724	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4724	EG4724	BGI3	RET5a	Andersen	BGI3-RET5a-EG4724	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4724	EG4724	Princeton1	PL_17	Princeton	Princeton1-PL_17-EG4724	Sonication	NA
EG4724	EG4724	Princeton1	PL_20	Princeton	Princeton1-PL_20-EG4724	Sonication	NA
EG4724	EG4724	Princeton1	PL_24	Princeton	Princeton1-PL_24-EG4724	Sonication	NA
JU1213	JU1213	BGI1	RET5	Andersen	BGI1-RET5-JU1213	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1213	JU1213	BGI2	RET5	Andersen	BGI2-RET5-JU1213	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1213	JU1213	BGI3	RET5a	Andersen	BGI3-RET5a-JU1213	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1213	JU533	MMP	ML_2	MMP	MMP-ML_2-JU533	Sonication	NA
JU1213	JU533	MMP	ML_3	MMP	MMP-ML_3-JU533	Sonication	NA
JU1213	JU533	MMP	ML_5	MMP	MMP-ML_5-JU533	Sonication	NA
JU1213	JU533	MMP	ML_6	MMP	MMP-ML_6-JU533	Sonication	NA
JU1213	JU533	MMP	ML_7	MMP	MMP-ML_7-JU533	Sonication	NA
GXW1	GXW1	BGI1	RET6	Andersen	BGI1-RET6-GXW1	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
GXW1	GXW1	BGI2	RET6	Andersen	BGI2-RET6-GXW1	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
GXW1	GXW1	BGI3	RET6b	Andersen	BGI3-RET6b-GXW1	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
GXW1	GXW1	MMP	ML_2	MMP	MMP-ML_2-GXW1	Sonication	NA
GXW1	GXW1	MMP	ML_3	MMP	MMP-ML_3-GXW1	Sonication	NA
GXW1	GXW1	MMP	ML_5	MMP	MMP-ML_5-GXW1	Sonication	NA
GXW1	GXW1	MMP	ML_6	MMP	MMP-ML_6-GXW1	Sonication	NA
GXW1	GXW1	MMP	ML_7	MMP	MMP-ML_7-GXW1	Sonication	NA
GXW1	GXW1	Princeton1	PL_3	Princeton	Princeton1-PL_3-GXW1	Sonication	NA
GXW1	GXW1	Princeton1	PL_4	Princeton	Princeton1-PL_4-GXW1	Sonication	NA
JU1088	JU1088	BGI1	RET3	Andersen	BGI1-RET3-JU1088	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1088	JU1088	BGI2	RET3	Andersen	BGI2-RET3-JU1088	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1088	JU1088	BGI3	RET3b	Andersen	BGI3-RET3b-JU1088	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1088	JU1088	MMP	ML_2	MMP	MMP-ML_2-JU1088	Sonication	NA
JU1088	JU1088	MMP	ML_3	MMP	MMP-ML_3-JU1088	Sonication	NA
JU1088	JU1088	MMP	ML_5	MMP	MMP-ML_5-JU1088	Sonication	NA
JU1088	JU1088	MMP	ML_6	MMP	MMP-ML_6-JU1088	Sonication	NA
JU1088	JU1088	MMP	ML_7	MMP	MMP-ML_7-JU1088	Sonication	NA
JU1088	JU1088	Rockman	R096.4	Rockman	Rockman-R096.4-JU1088	Sonication	NA
ED3073	ED3073	BGI1	RET4	Andersen	BGI1-RET4-ED3073	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3073	ED3073	BGI2	RET4	Andersen	BGI2-RET4-ED3073	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3073	ED3073	BGI3	RET4a	Andersen	BGI3-RET4a-ED3073	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3073	ED3057	MMP	ML_2	MMP	MMP-ML_2-ED3057	Sonication	NA
ED3073	ED3072	MMP	ML_2	MMP	MMP-ML_2-ED3072	Sonication	NA
ED3073	ED3057	MMP	ML_3	MMP	MMP-ML_3-ED3057	Sonication	NA
ED3073	ED3072	MMP	ML_3	MMP	MMP-ML_3-ED3072	Sonication	NA
ED3073	ED3057	MMP	ML_5	MMP	MMP-ML_5-ED3057	Sonication	NA
ED3073	ED3072	MMP	ML_5	MMP	MMP-ML_5-ED3072	Sonication	NA
ED3073	ED3057	MMP	ML_6	MMP	MMP-ML_6-ED3057	Sonication	NA
ED3073	ED3072	MMP	ML_6	MMP	MMP-ML_6-ED3072	Sonication	NA
ED3073	ED3057	MMP	ML_7	MMP	MMP-ML_7-ED3057	Sonication	NA
ED3073	ED3072	MMP	ML_7	MMP	MMP-ML_7-ED3072	Sonication	NA
ED3073	ED3073	Princeton1	PL_17	Princeton	Princeton1-PL_17-ED3073	Sonication	NA
EG4946	EG4946	BGI1	RET7	Andersen	BGI1-RET7-EG4946	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4946	EG4946	BGI2	RET7	Andersen	BGI2-RET7-EG4946	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4946	EG4946	BGI3	RET7a	Andersen	BGI3-RET7a-EG4946	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4946	EG4946	Princeton1	PL_10	Princeton	Princeton1-PL_10-EG4946	Sonication	NA
EG4946	EG4946	Princeton1	PL_11	Princeton	Princeton1-PL_11-EG4946	Sonication	NA
JU1246	JU1246	BGI1	RET3	Andersen	BGI1-RET3-JU1246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1246	JU1246	BGI2	RET3	Andersen	BGI2-RET3-JU1246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1246	JU1246	BGI3	RET3b	Andersen	BGI3-RET3b-JU1246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1242	JU1242	BGI1	RET4	Andersen	BGI1-RET4-JU1242	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1242	JU1242	BGI2	RET4	Andersen	BGI2-RET4-JU1242	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1242	JU1242	BGI3	RET4b	Andersen	BGI3-RET4b-JU1242	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1440	JU1440	BGI2	RET6	Andersen	BGI2-RET6-JU1440	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1440	JU1440	BGI3	RET6a	Andersen	BGI3-RET6a-JU1440	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1440	JU1440	UChicago	EA1	Andersen	UChicago-EA1-JU1440	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1440	JU1440	UChicago2	L007	Andersen	UChicago2-L007-JU1440	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2316	JU2316	UChicago	EA1	Andersen	UChicago-EA1-JU2316	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2316	JU2316	UChicago2	L007	Andersen	UChicago2-L007-JU2316	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1568	JU1568	BGI1	RET5	Andersen	BGI1-RET5-JU1568	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1568	JU1568	BGI2	RET5	Andersen	BGI2-RET5-JU1568	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1568	JU1568	BGI3	RET5a	Andersen	BGI3-RET5a-JU1568	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2466	JU2466	UChicago	EA1	Andersen	UChicago-EA1-JU2466	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2466	JU2466	UChicago2	L007	Andersen	UChicago2-L007-JU2466	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2001	JU2001	BGI2	RET6	Andersen	BGI2-RET6-JU2001	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2001	JU2001	BGI3	RET6b	Andersen	BGI3-RET6b-JU2001	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2001	JU2001	Princeton1	PL_3	Princeton	Princeton1-PL_3-JU2001	Sonication	NA
JU2001	JU2001	Princeton1	PL_4	Princeton	Princeton1-PL_4-JU2001	Sonication	NA
JU1652	JU1652	BGI1	RET7	Andersen	BGI1-RET7-JU1652	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1652	JU1652	BGI2	RET7	Andersen	BGI2-RET7-JU1652	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1652	JU1652	BGI3	RET7b	Andersen	BGI3-RET7b-JU1652	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1652	JU1652	MMP	ML_2	MMP	MMP-ML_2-JU1652	Sonication	NA
JU1652	JU1652	MMP	ML_3	MMP	MMP-ML_3-JU1652	Sonication	NA
JU1652	JU1652	MMP	ML_5	MMP	MMP-ML_5-JU1652	Sonication	NA
JU1652	JU1652	MMP	ML_6	MMP	MMP-ML_6-JU1652	Sonication	NA
JU1652	JU1652	MMP	ML_7	MMP	MMP-ML_7-JU1652	Sonication	NA
JU2513	JU2513	UChicago	EA2	Andersen	UChicago-EA2-JU2513	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2513	JU2513	UChicago2	L008	Andersen	UChicago2-L008-JU2513	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1530	JU1530	BGI1	RET7	Andersen	BGI1-RET7-JU1530	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1530	JU1530	BGI2	RET7	Andersen	BGI2-RET7-JU1530	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1530	JU1530	BGI3	RET7b	Andersen	BGI3-RET7b-JU1530	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1530	JU1530	Princeton1	PL_15	Princeton	Princeton1-PL_15-JU1530	Sonication	NA
JU1530	JU1530	Princeton1	PL_16	Princeton	Princeton1-PL_16-JU1530	Sonication	NA
JU2519	JU2519	UChicago	EA2	Andersen	UChicago-EA2-JU2519	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2519	JU2519	UChicago2	L008	Andersen	UChicago2-L008-JU2519	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1896	JU1896	BGI1	RET4	Andersen	BGI1-RET4-JU1896	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1896	JU1896	BGI2	RET4	Andersen	BGI2-RET4-JU1896	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1896	JU1896	BGI3	RET4a	Andersen	BGI3-RET4a-JU1896	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1896	JU1896	Princeton1	PL_12	Princeton	Princeton1-PL_12-JU1896	Sonication	NA
JU1409	JU1409	BGI1	RET5	Andersen	BGI1-RET5-JU1409	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1409	JU1409	BGI2	RET5	Andersen	BGI2-RET5-JU1409	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1409	JU1409	BGI3	RET5a	Andersen	BGI3-RET5a-JU1409	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1409	JU1401	MMP	ML_2	MMP	MMP-ML_2-JU1401	Sonication	NA
JU1409	JU1401	MMP	ML_3	MMP	MMP-ML_3-JU1401	Sonication	NA
JU1409	JU1401	MMP	ML_5	MMP	MMP-ML_5-JU1401	Sonication	NA
JU1409	JU1401	MMP	ML_6	MMP	MMP-ML_6-JU1401	Sonication	NA
JU1409	JU1401	MMP	ML_7	MMP	MMP-ML_7-JU1401	Sonication	NA
JU1409	JU1409	Princeton1	PL_2	Princeton	Princeton1-PL_2-JU1409	Sonication	NA
JU1409	JU1409	Princeton1	PL_22	Princeton	Princeton1-PL_22-JU1409	Sonication	NA
JU1200	JU1200	BGI1	RET2	Andersen	BGI1-RET2-JU1200	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1200	JU1200	BGI2	RET2	Andersen	BGI2-RET2-JU1200	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1200	JU1200	BGI3	RET2a	Andersen	BGI3-RET2a-JU1200	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1200	JU1200	Princeton1	PL_17	Princeton	Princeton1-PL_17-JU1200	Sonication	NA
JU1200	JU1200	Princeton1	PL_21	Princeton	Princeton1-PL_21-JU1200	Sonication	NA
JU1200	JU1200	Princeton1	PL_24	Princeton	Princeton1-PL_24-JU1200	Sonication	NA
JU2522	JU2522	UChicago	EA2	Andersen	UChicago-EA2-JU2522	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2522	JU2522	UChicago2	L008	Andersen	UChicago2-L008-JU2522	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2526	JU2526	UChicago	EA2	Andersen	UChicago-EA2-JU2526	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2526	JU2526	UChicago2	L008	Andersen	UChicago2-L008-JU2526	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1400	JU1400	BGI1	RET4	Andersen	BGI1-RET4-JU1400	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1400	JU1400	BGI2	RET4	Andersen	BGI2-RET4-JU1400	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1400	JU1400	BGI3	RET4a	Andersen	BGI3-RET4a-JU1400	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1400	JU1400	MMP	ML_2	MMP	MMP-ML_2-JU1400	Sonication	NA
JU1400	JU1400	MMP	ML_3	MMP	MMP-ML_3-JU1400	Sonication	NA
JU1400	JU1400	MMP	ML_5	MMP	MMP-ML_5-JU1400	Sonication	NA
JU1400	JU1400	MMP	ML_6	MMP	MMP-ML_6-JU1400	Sonication	NA
JU1400	JU1400	MMP	ML_7	MMP	MMP-ML_7-JU1400	Sonication	NA
JU1400	JU1400	Princeton1	PL_9	Princeton	Princeton1-PL_9-JU1400	Sonication	NA
JU1491	JU1491	BGI1	RET3	Andersen	BGI1-RET3-JU1491	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1491	JU1491	BGI2	RET3	Andersen	BGI2-RET3-JU1491	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1491	JU1491	BGI3	RET3a	Andersen	BGI3-RET3a-JU1491	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1491	JU1491	Princeton1	PL_13	Princeton	Princeton1-PL_13-JU1491	Sonication	NA
JU1491	JU1491	Princeton1	PL_14	Princeton	Princeton1-PL_14-JU1491	Sonication	NA
JU2007	JU2007	BGI1	RET3	Andersen	BGI1-RET3-JU2007	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2007	JU2007	BGI2	RET3	Andersen	BGI2-RET3-JU2007	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2007	JU2007	BGI3	RET3b	Andersen	BGI3-RET3b-JU2007	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2007	JU2007	Princeton1	PL_5	Princeton	Princeton1-PL_5-JU2007	Sonication	NA
JU2007	JU2007	Princeton1	PL_6	Princeton	Princeton1-PL_6-JU2007	Sonication	NA
JU1586	JU1586	BGI1	RET3	Andersen	BGI1-RET3-JU1586	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1586	JU1586	BGI2	RET3	Andersen	BGI2-RET3-JU1586	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1586	JU1586	BGI3	RET3a	Andersen	BGI3-RET3a-JU1586	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1586	JU1586	Princeton1	PL_15	Princeton	Princeton1-PL_15-JU1586	Sonication	NA
JU1586	JU1586	Princeton1	PL_16	Princeton	Princeton1-PL_16-JU1586	Sonication	NA
JU2464	JU2464	UChicago	EA1	Andersen	UChicago-EA1-JU2464	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2464	JU2467	UChicago	EA2	Andersen	UChicago-EA2-JU2467	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2464	JU2468	UChicago	EA2	Andersen	UChicago-EA2-JU2468	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2464	JU2464	UChicago2	L007	Andersen	UChicago2-L007-JU2464	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2464	JU2467	UChicago2	L008	Andersen	UChicago2-L008-JU2467	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU2464	JU2468	UChicago2	L008	Andersen	UChicago2-L008-JU2468	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU406	JU406	BGI1	RET6	Andersen	BGI1-RET6-JU406	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU406	JU406	BGI2	RET6	Andersen	BGI2-RET6-JU406	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU406	JU406	BGI3	RET6b	Andersen	BGI3-RET6b-JU406	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU393	JU393	BGI1	RET6	Andersen	BGI1-RET6-JU393	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU393	JU393	BGI2	RET6	Andersen	BGI2-RET6-JU393	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU393	JU393	BGI3	RET6b	Andersen	BGI3-RET6b-JU393	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1580	JU1580	BGI1	RET1	Andersen	BGI1-RET1-JU1580	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1580	JU1580	BGI2	RET1	Andersen	BGI2-RET1-JU1580	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1580	JU1580	BGI3	RET1b	Andersen	BGI3-RET1b-JU1580	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1580	JU1580	Princeton1	PL_10	Princeton	Princeton1-PL_10-JU1580	Sonication	NA
JU1580	JU1580	Princeton1	PL_11	Princeton	Princeton1-PL_11-JU1580	Sonication	NA
JU346	JU346	BGI1	RET2	Andersen	BGI1-RET2-JU346	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU346	JU346	BGI2	RET2	Andersen	BGI2-RET2-JU346	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU346	JU346	BGI3	RET2b	Andersen	BGI3-RET2b-JU346	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU346	JU346	Princeton1	PL_9	Princeton	Princeton1-PL_9-JU346	Sonication	NA
JU394	JU394	BGI1	RET4	Andersen	BGI1-RET4-JU394	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU394	JU394	BGI2	RET4	Andersen	BGI2-RET4-JU394	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU394	JU394	BGI3	RET4b	Andersen	BGI3-RET4b-JU394	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU394	JU394	MMP	ML_2	MMP	MMP-ML_2-JU394	Sonication	NA
JU394	JU394	MMP	ML_3	MMP	MMP-ML_3-JU394	Sonication	NA
JU394	JU394	MMP	ML_5	MMP	MMP-ML_5-JU394	Sonication	NA
JU394	JU394	MMP	ML_6	MMP	MMP-ML_6-JU394	Sonication	NA
JU394	JU394	MMP	ML_7	MMP	MMP-ML_7-JU394	Sonication	NA
JU394	JU400	Rockman	R076.2	Rockman	Rockman-R076.2-JU400	Sonication	NA
JU397	JU397	BGI1	RET5	Andersen	BGI1-RET5-JU397	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU397	JU397	BGI2	RET5	Andersen	BGI2-RET5-JU397	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU397	JU397	BGI3	RET5b	Andersen	BGI3-RET5b-JU397	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1581	JU1516	BGI1	RET4	Andersen	BGI1-RET4-JU1516	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1581	JU1581	BGI1	RET6	Andersen	BGI1-RET6-JU1581	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1581	JU1516	BGI2	RET4	Andersen	BGI2-RET4-JU1516	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1581	JU1581	BGI2	RET6	Andersen	BGI2-RET6-JU1581	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
